"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_post_int","sd_post_int","n_post_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","is_measure_std_ctl","m_post_ctl","sd_post_ctl","n_post_ctl"
"149","149NGm","1",276,"(immediate) 7. Written retell information units","NO - Not standardized",3.63,2.06,16,"149Nm","ctl",292,"NO - Not standardized",3.69,2.5,16
"149","149NGm","1",277,"(immediate) 8. Written retell main ideas","NO - Not standardized",2.75,1.44,16,"149Nm","ctl",293,"NO - Not standardized",2.63,1.26,16
"149","149NGm","1",278,"(3 week) 1. Main idea","NO - Not standardized",4.13,1.55,16,"149Nm","ctl",294,"NO - Not standardized",2.4,1.35,16
"149","149NGm","1",279,"(3 week) 2. Summary","NO - Not standardized",4.67,1.59,16,"149Nm","ctl",295,"NO - Not standardized",3.93,1.62,16
"149","149NGm","1",280,"(3 week) 3. Oral retell quality","NO - Not standardized",3.87,1.25,16,"149Nm","ctl",296,"NO - Not standardized",3.33,1.29,16
"149","149NGm","1",281,"(3 week) 4. Oral retell information units","NO - Not standardized",4.8,1.7,16,"149Nm","ctl",297,"NO - Not standardized",3.6,2.41,16
"149","149NGm","1",282,"(3 week) 5. Oral retell main ideas","NO - Not standardized",2.27,1.1,16,"149Nm","ctl",298,"NO - Not standardized",1.53,1.36,16
"149","149NGm","1",283,"(3 week) 6. Written retell quality","NO - Not standardized",3.87,1.07,16,"149Nm","ctl",299,"NO - Not standardized",3.35,1.35,16
"149","149NGm","1",284,"(3 week) 7. Written retell information units","NO - Not standardized",3.96,1.7,16,"149Nm","ctl",300,"NO - Not standardized",3.35,1.61,16
"149","149NGm","1",285,"(3 week) 8. Written retell main ideas","NO - Not standardized",2.78,1.4,16,"149Nm","ctl",301,"NO - Not standardized",2.59,1.36,16
"150","150cm","1",303,"Posttest Unrelated","NO - Not standardized",0.47,0.23,24,"150bau","ctl",302,"NO - Not standardized",0.49,0.23,27
"150","150Gcm","2",304,"Posttest Unrelated","NO - Not standardized",0.5,0.27,24,"150bau","ctl",302,"NO - Not standardized",0.49,0.23,27
"151","151NVGm","1",305,"Retell Quality","NO - Not standardized",2.9,1.4,9,"151Nm","ctl",309,"NO - Not standardized",4.2,1.3,9
"151","151NVGm","1",306,"Retell Main Idea","NO - Not standardized",0.9,0.5,9,"151Nm","ctl",310,"NO - Not standardized",1.4,0.4,9
"151","151NVGm","1",307,"Multiple Choice","NO - Not standardized",6.2,2.2,9,"151Nm","ctl",311,"NO - Not standardized",7.4,2.7,9
"151","151NVGm","1",308,"WJ Passage Comprehension","YES - standardized",78.7,8.7,9,"151Nm","ctl",312,"YES - standardized",75.6,14.5,9
"152","152Nm","1",313,"GMRT-4 Comprehension","YES - standardized",28.37,6.9,38,"152m","ctl",314,"YES - standardized",26.5,7.28,38
"153","153Nm","1",315,"GMRT-4 Comprehension","YES - standardized",28.09,7.35,23,"153m","ctl",316,"YES - standardized",22.61,6.45,23
